Datetime,Open,High,Low,Close,Volume,Bar_Return,Bar_Range,Vol_SMA_20,Rel_Volume,EMA_9,EMA_21,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Position,Typical,VWAP,VWAP_Dist,Cum_Volume,Bar_Num,Bar_Dir,Streak,Prev_Return,Mom_3,Day_Open,From_Day_Open
2026-03-25 09:30:00-04:00,10.670000076293945,10.880000114440918,10.670000076293945,10.787699699401855,31639,1.1030892433581991,1.9681353012690215,,,10.787699699401855,10.787699699401855,,0.0,0.0,0.0,,,,10.77923329671224,10.77923329671224,0.07854364458553485,31639.0,0.0,1,1,,,10.670000076293945,1.1030892433581991
2026-03-25 09:35:00-04:00,10.904999732971191,11.109199523925781,10.904999732971191,10.960000038146973,20937,0.504358610935938,1.8725336630425877,,,10.822159767150879,10.803363366560502,,0.013744756367131572,0.0027489512734263145,0.010995805093705258,,,,10.991399765014648,10.863722975403041,0.8862253111747789,52576.0,1.0,1,2,1.1030892433581991,,10.670000076293945,2.7179002790949767
2026-03-25 09:40:00-04:00,11.0,11.069999694824219,10.970100402832031,11.0,5320,0.0,0.9106506624715812,,,10.857727813720704,10.82123942414591,,0.027547684878177492,0.00770869799437655,0.01983898688380094,,,,11.01336669921875,10.877473573211173,1.1264235758805494,57896.0,2.0,-1,-1,0.504358610935938,,10.670000076293945,3.092782768007954
2026-03-25 09:45:00-04:00,11.024999618530273,11.210000038146973,11.010000228881836,11.210000038146973,9187,1.6780083992543608,1.8165286567432568,,,10.928182258605958,10.856581298146006,,0.05480015117202619,0.01712698862990648,0.037673162542119706,,,,11.143333435058594,10.913883014512132,2.713214199209349,67083.0,3.0,1,1,0.0,3.9146467783908845,10.670000076293945,5.060918069276975
2026-03-25 09:50:00-04:00,11.1899995803833,11.210000038146973,11.119999885559082,11.210000038146973,13201,0.17873510736080636,0.8093538985082973,,,10.984545814514162,10.88871027450973,,0.0755272954059869,0.028807049985122568,0.04672024542086434,,,,11.179999987284342,10.957640303107194,2.3030481751460523,80284.0,4.0,1,2,1.6780083992543608,2.281021889870982,10.670000076293945,5.060918069276975
2026-03-25 09:55:00-04:00,11.194999694824219,11.25,11.194999694824219,11.225000381469727,23026,0.26798291615298586,0.4912934941946405,,,11.032636727905274,10.919282102415185,,0.09210240963889937,0.04146612191587793,0.05063628772302144,,,,11.223333358764648,11.016858658538116,1.8893019270089313,103310.0,5.0,1,3,0.17873510736080636,2.0454580133611566,10.670000076293945,5.201502354333176
2026-03-25 10:00:00-04:00,11.199999809265137,11.2431001663208,11.125,11.1899995803833,12184,-0.08928775939409664,1.0615745287262992,,,11.06410929840088,10.943892782230467,,0.10124692344253283,0.053422282221208914,0.04782464122132392,,,,11.186033248901367,11.034705674045291,1.4073225958647535,115494.0,6.0,-1,-1,0.26798291615298586,-0.1784162149474744,10.670000076293945,4.873472355868707
2026-03-25 10:05:00-04:00,11.161499977111816,11.229999542236328,11.161499977111816,11.229999542236328,3754,0.6137128993860991,0.6137128993860991,,,11.097287347167969,10.969902487685545,,0.11044849761379538,0.06482752529972621,0.04562097231406917,,,,11.20716635386149,11.040134841763242,1.7197679484389532,119248.0,7.0,1,1,-0.08928775939409664,0.17840770759409708,10.670000076293945,5.2483548447816855
2026-03-25 10:10:00-04:00,11.225000381469727,11.25,11.210000038146973,11.210000038146973,5804,-0.13363334354550696,0.3568239225415684,,,11.119829885363771,10.991729537727492,,0.11480363377374125,0.07482274699452923,0.03998088677921202,,,,11.223333358764648,11.048637578166307,1.4604738261986339,125052.0,8.0,-1,-1,0.6137128993860991,-0.13363334354550283,10.670000076293945,5.060918069276975
2026-03-25 10:15:00-04:00,11.210100173950195,11.25,11.20009994506836,11.234999656677246,8834,0.22211650512197648,0.4455322289656234,,,11.142863839626468,11.01384500308656,,0.11890174553367672,0.08363854670235873,0.03526319883131798,,,,11.228366533915201,11.060496365456133,1.5777166363538344,133886.0,9.0,1,1,-0.13363334354550696,0.40214546900281256,10.670000076293945,5.295216273133752
