Datetime,Open,High,Low,Close,Volume,Change,Change_Pct,Bar_Range,Body,Upper_Wick_Pct,Lower_Wick_Pct,VWAP,Cum_Volume,Vol_Delta,Cum_Vol_Delta,EMA_9,EMA_21,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Mid,BB_Lower,Vol_SMA_20,Rel_Volume
2026-06-12 09:30:00-04:00,17.8,18.0,17.56,17.64,105469,,,0.44,0.16,45.4547,18.1818,17.7333,105469.0,-105469,-105469.0,17.64,17.64,,0.0,0.0,0.0,,,,,
2026-06-12 09:35:00-04:00,17.64,17.68,17.3868,17.54,14787,-0.1,-0.5669,0.2932,0.1,13.6429,52.2512,17.709,120256.0,-14787,-120256.0,17.62,17.6309,,-0.008,-0.0016,-0.0064,,,,,
2026-06-12 09:40:00-04:00,17.515,17.57,17.31,17.42,28045,-0.12,-0.6842,0.26,0.095,21.1539,42.3079,17.6569,148301.0,-28045,-148301.0,17.58,17.6117,,-0.0237,-0.006,-0.0177,,,,,
2026-06-12 09:45:00-04:00,17.42,17.56,17.3,17.55,19307,0.13,0.7463,0.26,0.13,3.8462,46.1541,17.6354,167608.0,19307,-128994.0,17.574,17.6061,,-0.0254,-0.0099,-0.0155,,,,,
2026-06-12 09:50:00-04:00,17.56,17.56,17.25,17.325,10310,-0.225,-1.282,0.31,0.235,0.0,24.1938,17.6205,177918.0,-10310,-139304.0,17.5242,17.5806,,-0.0444,-0.0168,-0.0276,,,,,
2026-06-12 09:55:00-04:00,17.22,17.385,17.2,17.28,34428,-0.045,-0.2597,0.185,0.06,56.7567,10.8101,17.5666,212346.0,34428,-104876.0,17.4754,17.5532,,-0.0623,-0.0259,-0.0364,,,,,
2026-06-12 10:00:00-04:00,17.385,17.6214,17.385,17.6214,28442,0.3414,1.9757,0.2364,0.2364,0.0,0.0,17.5638,240788.0,28442,-76434.0,17.5046,17.5594,,-0.0484,-0.0304,-0.018,,,,,
2026-06-12 10:05:00-04:00,17.55,17.6,17.4587,17.6,8135,-0.0214,-0.1214,0.1413,0.05,0.0,64.6135,17.5634,248923.0,8135,-68299.0,17.5237,17.5631,,-0.0387,-0.0321,-0.0067,,,,,
2026-06-12 10:10:00-04:00,17.52,17.55,17.52,17.545,3818,-0.055,-0.3125,0.03,0.025,16.6645,0.0,17.563,252741.0,3818,-64481.0,17.5279,17.5615,,-0.0351,-0.0327,-0.0024,,,,,
2026-06-12 10:15:00-04:00,17.545,17.71,17.545,17.665,9652,0.12,0.684,0.165,0.12,27.2718,0.0,17.5659,262393.0,9652,-54829.0,17.5553,17.5709,,-0.0222,-0.0306,0.0084,,,,,
2026-06-12 10:20:00-04:00,17.665,17.77,17.64,17.64,17505,-0.025,-0.1415,0.13,0.025,80.7682,0.0,17.5732,279898.0,-17505,-72334.0,17.5723,17.5772,,-0.0139,-0.0272,0.0133,,,,,
2026-06-12 10:25:00-04:00,17.685,17.945,17.67,17.935,17937,0.295,1.6723,0.275,0.25,3.6365,5.4543,17.5899,297835.0,17937,-54397.0,17.6448,17.6097,,0.0163,-0.0185,0.0348,,,,,
2026-06-12 10:30:00-04:00,17.94,18.0493,17.94,18.0,8708,0.065,0.3624,0.1093,0.06,45.1051,0.0,17.6014,306543.0,8708,-45689.0,17.7159,17.6452,,0.045,-0.0058,0.0508,,,,,
2026-06-12 10:35:00-04:00,18.0,18.15,18.0,18.11,10097,0.11,0.6111,0.15,0.11,26.6661,0.0,17.6169,316640.0,10097,-35592.0,17.7947,17.6874,71.7828,0.0757,0.0105,0.0652,,,,,
2026-06-12 10:40:00-04:00,18.055,18.055,17.82,17.85,25173,-0.26,-1.4357,0.235,0.205,0.0,12.7662,17.6384,341813.0,-25173,-60765.0,17.8057,17.7022,57.0622,0.0782,0.024,0.0542,,,,,
2026-06-12 10:45:00-04:00,17.8573,17.8998,17.73,17.74,14793,-0.11,-0.6162,0.1698,0.1173,25.0292,5.8894,17.6447,356606.0,-14793,-75558.0,17.7926,17.7057,52.1862,0.0704,0.0333,0.0371,,,,,
2026-06-12 10:50:00-04:00,17.84,17.92,17.78,17.92,17481,0.18,1.0147,0.14,0.08,0.0,42.8569,17.6553,374087.0,17481,-58077.0,17.8181,17.7251,58.4439,0.0779,0.0422,0.0357,,,,,
2026-06-12 10:55:00-04:00,17.885,17.93,17.86,17.86,10487,-0.06,-0.3348,0.07,0.025,64.2861,0.0,17.6616,384574.0,-10487,-68564.0,17.8265,17.7374,55.8214,0.0781,0.0494,0.0287,,,,,
2026-06-12 11:00:00-04:00,17.86,17.92,17.8,17.91,2655,0.05,0.28,0.12,0.05,8.3335,50.0008,17.663,387229.0,2655,-65909.0,17.8432,17.7531,57.5316,0.0814,0.0558,0.0256,,,,,
2026-06-12 11:05:00-04:00,17.92,17.95,17.865,17.94,7596,0.03,0.1675,0.085,0.02,11.7648,64.7055,17.6679,394825.0,7596,-58313.0,17.8625,17.7701,58.568,0.0854,0.0617,0.0237,18.1645,17.7046,17.2446,19741.25,0.3848
